datetime,temp, undefined
2018010100,9.2,  97.0
2018010101,8.7,  97.0
2018010102,8.5,  96.0
2018010103,8.4,  94.0
2018010104,8.5,  89.0
2018010105,8.7,  82.0
2018010106,8.4,  83.0
2018010107,7.3,  82.0
2018010108,8.1,  79.0
2018010109,7.8,  79.0
2018010110,7.6,  73.0
2018010111,7.5,  72.0
2018010112,7.6,  69.0
2018010113,7.4,  67.0
2018010114,7.1,  71.0
2018010115,7.0,  69.0
2018010116,6.7,  70.0
2018010117,6.3,  73.0
2018010118,6.3,  76.0
2018010119,5.9,  78.0
2018010120,5.2,  81.0
2018010121,4.9,  81.0
2018010122,4.6,  82.0
2018010123,4.3,  84.0
2018010200,4.3,  84.0
2018010201,4.5,  83.0
2018010202,4.3,  83.0
2018010203,3.9,  85.0
2018010204,3.6,  86.0
2018010205,3.0,  89.0
2018010206,3.2,  89.0
2018010207,3.4,  90.0
2018010208,3.7,  92.0
2018010209,4.3,  92.0
2018010210,4.8,  94.0
2018010211,5.3,  93.0
2018010212,5.7,  91.0
2018010213,6.0,  85.0
2018010214,6.0,  84.0
2018010215,6.0,  86.0
2018010216,5.5,  89.0
2018010217,5.7,  88.0
2018010218,5.6,  89.0
2018010219,5.0,  91.0
2018010220,5.1,  90.0
2018010221,4.9,  89.0
2018010222,5.0,  88.0
2018010223,4.5,  89.0
2018010300,4.1,  92.0
2018010301,3.9,  90.0
2018010302,3.9,  86.0
2018010303,3.8,  83.0
2018010304,3.3,  91.0
2018010305,3.4,  92.0
2018010306,3.5,  93.0
2018010307,3.6,  95.0
2018010308,3.6,  94.0
2018010309,4.1,  96.0
2018010310,5.7,  96.0
2018010311,6.9,  91.0
2018010312,7.8,  81.0
2018010313,4.1,  92.0
2018010314,6.0,  87.0
2018010315,6.0,  87.0
2018010316,5.6,  92.0
2018010317,5.4,  92.0
2018010318,5.7,  90.0
2018010319,5.3,  95.0
2018010320,5.0,  94.0
2018010321,5.1,  96.0
2018010322,5.1,  95.0
2018010323,5.1,  97.0
2018010400,4.3,  92.0
2018010401,4.8,  96.0
2018010402,5.0,  88.0
2018010403,5.0,  94.0
2018010404,5.2,  94.0
2018010405,5.4,  88.0
2018010406,5.3,  87.0
2018010407,5.3,  85.0
2018010408,5.4,  82.0
2018010409,5.5,  82.0
2018010410,5.5,  82.0
2018010411,6.1,  78.0
2018010412,6.0,  81.0
2018010413,5.9,  78.0
2018010414,5.9,  79.0
2018010415,5.6,  84.0
2018010416,5.4,  88.0
2018010417,5.2,  95.0
2018010418,5.5,  94.0
2018010419,5.6,  94.0
2018010420,5.4,  94.0
2018010421,5.5,  95.0
2018010422,5.4,  97.0
2018010423,5.4,  96.0
2018010500,5.4,  98.0
2018010501,5.5,  98.0
2018010502,6.2,  97.0
2018010503,6.9,  86.0
2018010504,6.6,  82.0
2018010505,6.2,  86.0
2018010506,6.1,  86.0
2018010507,6.3,  81.0
2018010508,5.8,  88.0
2018010509,6.2,  83.0
2018010510,6.8,  78.0
2018010511,6.5,  83.0
2018010512,5.6,  94.0
2018010513,5.0,  95.0
2018010514,4.8,  90.0
2018010515,4.7,  91.0
2018010516,4.8,  89.0
2018010517,4.8,  90.0
2018010518,4.8,  89.0
2018010519,4.7,  92.0
2018010520,4.5,  96.0
2018010521,4.6,  97.0
2018010522,4.8,  96.0
2018010523,4.9,  91.0
2018010600,4.7,  94.0
2018010601,4.3,  96.0
2018010602,4.2,  95.0
2018010603,4.2,  95.0
2018010604,4.3,  95.0
2018010605,4.7,  96.0
2018010606,4.7,  96.0
2018010607,5.1,  96.0
2018010608,5.1,  95.0
2018010609,5.2,  93.0
2018010610,5.4,  91.0
2018010611,5.7,  89.0
2018010612,5.9,  89.0
2018010613,5.7,  90.0
2018010614,4.5,  93.0
2018010615,4.1,  91.0
2018010616,3.8,  88.0
2018010617,3.7,  88.0
2018010618,3.8,  87.0
2018010619,3.4,  83.0
2018010620,3.0,  84.0
2018010621,2.3,  80.0
2018010622,2.1,  77.0
2018010623,2.0,  77.0
2018010700,1.7,  77.0
2018010701,1.4,  78.0
2018010702,1.0,  77.0
2018010703,1.3,  75.0
2018010704,1.2,  75.0
2018010705,1.2,  75.0
2018010706,1.2,  73.0
2018010707,1.3,  71.0
2018010708,1.2,  73.0
2018010709,1.0,  75.0
2018010710,1.0,  74.0
2018010711,1.8,  68.0
2018010712,2.4,  62.0
2018010713,2.7,  62.0
2018010714,2.4,  61.0
2018010715,1.9,  62.0
2018010716,0.9,  74.0
2018010717,0.1,  78.0
2018010718,-0.3,  81.0
2018010719,-0.9,  83.0
2018010720,-1.4,  85.0
2018010721,-0.9,  82.0
2018010722,-1.0,  80.0
2018010723,-2.2,  85.0
2018010800,-2.5,  86.0
2018010801,-3.1,  86.0
2018010802,-2.6,  85.0
2018010803,-3.5,  90.0
2018010804,-2.9,  87.0
2018010805,-3.2,  89.0
2018010806,-3.5,  90.0
2018010807,-3.0,  88.0
2018010808,-3.3,  92.0
2018010809,-2.4,  88.0
2018010810,-0.7,  77.0
2018010811,0.0,  77.0
2018010812,1.3,  75.0
2018010813,1.5,  75.0
2018010814,1.6,  73.0
2018010815,0.8,  76.0
2018010816,-0.3,  82.0
2018010817,-0.4,  84.0
2018010818,-0.9,  87.0
2018010819,-0.3,  83.0
2018010820,-0.7,  84.0
2018010821,0.1,  79.0
2018010822,-0.3,  79.0
2018010823,-0.7,  80.0
2018010900,-0.6,  76.0
2018010901,-1.0,  78.0
2018010902,-1.2,  82.0
2018010903,-1.2,  81.0
2018010904,-1.1,  77.0
2018010905,-1.0,  76.0
2018010906,-0.9,  73.0
2018010907,0.5,  63.0
2018010908,1.0,  60.0
2018010909,1.6,  58.0
2018010910,2.1,  56.0
2018010911,2.6,  54.0
2018010912,2.8,  54.0
2018010913,3.2,  54.0
2018010914,2.9,  56.0
2018010915,2.6,  58.0
2018010916,2.8,  59.0
2018010917,2.9,  58.0
2018010918,3.0,  57.0
2018010919,3.0,  58.0
2018010920,3.0,  60.0
2018010921,3.0,  61.0
2018010922,2.8,  63.0
2018010923,2.9,  65.0
2018011000,2.7,  70.0
2018011001,2.7,  71.0
2018011002,2.7,  72.0
2018011003,2.1,  82.0
2018011004,1.5,  90.0
2018011005,1.6,  95.0
2018011006,1.7,  97.0
2018011007,1.9,  99.0
2018011008,2.0,  99.0
2018011009,2.1,  96.0
2018011010,2.6,  96.0
2018011011,2.3,  98.0
2018011012,2.3,  99.0
2018011013,2.2, 100.0
2018011014,2.3, 100.0
2018011015,2.1, 100.0
2018011016,1.7, 100.0
2018011017,0.9, 100.0
2018011018,0.7, 100.0
2018011019,0.5, 100.0
2018011020,0.2, 100.0
2018011021,0.5, 100.0
2018011022,0.3, 100.0
2018011023,0.3, 100.0
2018011100,0.1, 100.0
2018011101,-0.1, 100.0
2018011102,0.0, 100.0
2018011103,0.2, 100.0
2018011104,0.2, 100.0
2018011105,0.5, 100.0
2018011106,0.5, 100.0
2018011107,0.8,  99.0
2018011108,1.5, 100.0
2018011109,2.3, 100.0
2018011110,2.9,  99.0
2018011111,3.6, 100.0
2018011112,3.9, 100.0
2018011113,3.8,  99.0
2018011114,3.6,  97.0
2018011115,3.3,  99.0
2018011116,2.7,  98.0
2018011117,2.5,  99.0
2018011118,2.2,  96.0
2018011119,1.9,  94.0
2018011120,1.9,  95.0
2018011121,1.9,  96.0
2018011122,1.8,  97.0
2018011123,1.8,  96.0
2018011200,1.8,  96.0
2018011201,1.8,  96.0
2018011202,1.7,  96.0
2018011203,1.6,  95.0
2018011204,1.6,  97.0
2018011205,1.6,  96.0
2018011206,1.6,  97.0
2018011207,1.6,  94.0
2018011208,1.4,  97.0
2018011209,1.3,  96.0
2018011210,1.4,  93.0
2018011211,1.3,  91.0
2018011212,2.1,  84.0
2018011213,2.3,  82.0
2018011214,2.1,  85.0
2018011215,2.1,  86.0
2018011216,2.0,  87.0
2018011217,2.0,  88.0
2018011218,1.9,  86.0
2018011219,1.7,  88.0
2018011220,1.4,  90.0
2018011221,1.4,  90.0
2018011222,1.4,  90.0
2018011223,1.1,  92.0
2018011300,1.1,  90.0
